# Vulnerable Binaries - Missing or Non-Existent Weak Dylibs
# Format: binary_path|dylib_path|vulnerability_type

/Applications/Claude.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Libraries/libGLESv2.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/Claude.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Libraries/libvk_swiftshader.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/Claude.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Libraries/libvk_swiftshader.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/CLion.app/Contents/jbr/Contents/Frameworks/Chromium Embedded Framework.framework/Libraries/libGLESv2.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/CLion.app/Contents/jbr/Contents/Frameworks/Chromium Embedded Framework.framework/Libraries/libvk_swiftshader.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/CLion.app/Contents/jbr/Contents/Home/lib/libjogl_desktop.dylib|/System/Library/Frameworks/AppKit.framework/Versions/C/AppKit|MISSING_WEAK_DYLIB
/Applications/CLion.app/Contents/jbr/Contents/Home/lib/libjogl_desktop.dylib|/System/Library/Frameworks/QuartzCore.framework/Versions/A/QuartzCore|MISSING_WEAK_DYLIB
/Applications/CLion.app/Contents/jbr/Contents/Home/lib/libjogl_desktop.dylib|/System/Library/Frameworks/Cocoa.framework/Versions/A/Cocoa|MISSING_WEAK_DYLIB
/Applications/CLion.app/Contents/jbr/Contents/Home/lib/libjogl_desktop.dylib|/System/Library/Frameworks/OpenGL.framework/Versions/A/OpenGL|MISSING_WEAK_DYLIB
/Applications/CLion.app/Contents/jbr/Contents/Home/lib/libjogl_mobile.dylib|/System/Library/Frameworks/AppKit.framework/Versions/C/AppKit|MISSING_WEAK_DYLIB
